fiscal_code;final_rank;evaluation_date;is_consolidated
01493310930;7;01/07/2019;False
01493380933;4;01/07/2016;False
01493380933;5;01/07/2017;False
01493380933;5;01/07/2018;False
01493380933;5;01/07/2019;False
01493540932;6;01/07/2016;False
01493540932;6;01/07/2017;False
01493540932;6;01/07/2018;False
01493540932;6;01/07/2019;False
01493620932;1;01/07/2016;False
01493620932;1;01/07/2017;False
01493620932;1;01/07/2018;False
01493620932;1;01/07/2019;False
01493780306;5;01/07/2016;False
01493780306;3;01/07/2017;False
01493780306;4;01/07/2018;False
01493780306;5;01/07/2019;False
01493940934;6;01/07/2016;False
01493940934;3;01/07/2017;False
01493940934;6;01/07/2018;False
01493940934;6;01/07/2019;False
01494090937;4;01/07/2016;False
01494090937;4;01/07/2017;False
01494090937;4;01/07/2018;False
01494090937;7;01/07/2019;False
01494130931;6;01/07/2016;False
01494130931;6;01/07/2017;False
01494130931;6;01/07/2018;False
01494130931;4;01/07/2019;False
01494490939;7;01/07/2016;False
01494490939;7;01/07/2017;False
01494490939;7;01/07/2018;False
01494490939;7;01/07/2019;False
01494520305;8;01/07/2019;False
01494710039;4;01/07/2016;False
01494710039;5;01/07/2017;False
01494710039;6;01/07/2018;False
01494710039;5;01/07/2019;False
01495120931;1;01/07/2016;False
01495120931;1;01/07/2017;False
01495120931;1;01/07/2018;False
01495120931;1;01/07/2019;False
01495580936;5;01/07/2016;False
01495580936;5;01/07/2017;False
01495580936;7;01/07/2018;False
01495580936;6;01/07/2019;False
01495700302;3;01/07/2016;False
01495700302;3;01/07/2017;False
01495700302;3;01/07/2018;False
01495700302;3;01/07/2019;False
01495840934;1;01/07/2016;False
01495840934;1;01/07/2017;False
01495840934;1;01/07/2018;False
01495840934;1;01/07/2019;False
01495920934;1;01/07/2016;False
01495920934;1;01/07/2017;False
01495920934;1;01/07/2018;False
01495920934;1;01/07/2019;False
01496030931;5;01/07/2016;False
01496030931;8;01/07/2017;False
01496030931;6;01/07/2018;False
01496030931;6;01/07/2019;False
01496050939;1;01/07/2016;False
01496050939;1;01/07/2017;False
01496050939;1;01/07/2018;False
01496050939;1;01/07/2019;False
01496190933;3;01/07/2016;False
01496190933;3;01/07/2017;False
01496190933;3;01/07/2018;False
01496190933;3;01/07/2019;False
01496270933;7;01/07/2016;False
01496270933;5;01/07/2017;False
01496270933;7;01/07/2018;False
01496270933;7;01/07/2019;False
01496580224;1;01/07/2016;False
01496580224;1;01/07/2017;False
01496580224;1;01/07/2018;False
01496580224;1;01/07/2019;False
01496830934;1;01/07/2016;False
01496830934;1;01/07/2017;False
01496830934;1;01/07/2018;False
01496830934;1;01/07/2019;False
01496930932;8;01/07/2017;False
01496930932;8;01/07/2018;False
01496930932;7;01/07/2019;False
01497180933;7;01/07/2016;False
01497180933;6;01/07/2017;False
01497180933;6;01/07/2018;False
01497180933;7;01/07/2019;False
01497300937;1;01/07/2016;False
01497300937;1;01/07/2017;False
01497300937;1;01/07/2018;False
01497300937;1;01/07/2019;False
01497330934;8;01/07/2016;False
01497330934;8;01/07/2017;False
01497330934;8;01/07/2018;False
01497330934;8;01/07/2019;False
01497440931;1;01/07/2016;False
01497440931;1;01/07/2017;False
01497440931;1;01/07/2018;False
01497440931;1;01/07/2019;False
01497480937;8;01/07/2016;False
01497480937;5;01/07/2017;False
01497480937;8;01/07/2018;False
01497480937;8;01/07/2019;False
01497490936;6;01/07/2016;False
01497490936;6;01/07/2017;False
01497490936;6;01/07/2018;False
01497490936;6;01/07/2019;False
01497500932;4;01/07/2016;False
01497500932;4;01/07/2017;False
01497500932;4;01/07/2018;False
01497500932;4;01/07/2019;False
01497680932;1;01/07/2016;False
01497680932;1;01/07/2017;False
01497680932;1;01/07/2018;False
01497680932;1;01/07/2019;False
01497860302;6;01/07/2016;False
01497860302;4;01/07/2017;False
01497860302;5;01/07/2018;False
01497860302;3;01/07/2019;False
01497960938;6;01/07/2016;False
01497960938;7;01/07/2017;False
01497960938;8;01/07/2018;False
01497960938;8;01/07/2019;False
01498180932;1;01/07/2016;False
01498180932;1;01/07/2017;False
01498180932;1;01/07/2018;False
01498180932;1;01/07/2019;False
01498200938;6;01/07/2016;False
01498200938;7;01/07/2017;False
01498200938;6;01/07/2018;False
01498200938;6;01/07/2019;False
01498310935;6;01/07/2016;False
01498310935;6;01/07/2017;False
01498310935;7;01/07/2018;False
01498310935;7;01/07/2019;False
01498370939;6;01/07/2016;False
01498370939;7;01/07/2017;False
01498370939;7;01/07/2018;False
01498370939;6;01/07/2019;False
01498640307;5;01/07/2016;False
01498640307;6;01/07/2017;False
01498640307;5;01/07/2018;False
01498640307;5;01/07/2019;False
01498640935;4;01/07/2016;False
01498640935;4;01/07/2017;False
01498640935;4;01/07/2018;False
01498640935;4;01/07/2019;False
01498720935;8;01/07/2016;False
01498720935;8;01/07/2017;False
01498720935;8;01/07/2018;False
01498720935;7;01/07/2019;False
01498840931;1;01/07/2016;False
01498840931;1;01/07/2017;False
01498840931;1;01/07/2018;False
01498840931;1;01/07/2019;False
01499320933;1;01/07/2016;False
